iter	RMSE
0	0.9103568229
1	0.8308872095
2	0.7582219682
3	0.6983597079
4	0.6391525912
5	0.5915811546
6	0.5430173575
7	0.4998711856
8	0.4617134337
9	0.4241921857
10	0.3919453733
11	0.3632195594
12	0.3348539255
13	0.3105594663
14	0.287357518
15	0.265511092
16	0.2482343595
17	0.2310398649
18	0.2168548887
19	0.2031364923
20	0.1897868815
21	0.1791734165
22	0.1697165829
23	0.1606330087
24	0.1507875456
25	0.1442296642
26	0.1378755851
27	0.1302450875
28	0.1231494408
29	0.1179861399
30	0.1122481511
31	0.1071467859
32	0.102735136
33	0.09905593904
34	0.09513711545
35	0.09171260921
36	0.0891075638
37	0.08584538522
38	0.08342433196
39	0.08097342164
40	0.07843778336
41	0.07636287884
42	0.07403878747
43	0.07173299883
44	0.06985388517
45	0.06804171809
46	0.06678621969
47	0.06484063068
48	0.063297078
49	0.06171558446
50	0.06037988166
51	0.05908002215
52	0.05799763238
53	0.05670040782
54	0.05555562983
55	0.05456858565
56	0.05354364746
57	0.05264136712
58	0.05180724711
59	0.05098841547
60	0.05021343689
61	0.04948949758
62	0.04851028731
63	0.04775413928
64	0.04703080361
65	0.04645903981
66	0.04590950324
67	0.045372907
68	0.04482891271
69	0.04434328339
70	0.04379427251
71	0.04337495946
72	0.04275474088
73	0.04240340996
74	0.04180812089
75	0.04139565809
76	0.0410621475
77	0.04064423147
78	0.04026873889
79	0.03988335489
80	0.03964439962
81	0.0393171189
82	0.03897235378
83	0.03873226772
84	0.03847692553
85	0.0382593055
86	0.03807835405
87	0.03748983689
88	0.03706648516
89	0.03687755514
90	0.03665017347
91	0.0363926629
92	0.03623202023
93	0.03589799307
94	0.035746908
95	0.03553559445
96	0.03503280165
97	0.03484785251
98	0.03438293091
99	0.03423588586
